User_ID,Password,User_Type,DOB
cs001,,A,08/09/1988
amrit002,,A,21/03/1991
ritika003,,A,12/12/1990
nabanita004,,A,13/07/1992
poonam005,,A,27/10/1982
neha006,,A,21/03/1983
sandeep007,,A,09/06/1988
akshpreet008,,A,11/01/1982
ramandeep009,,A,23/02/1984
staffdeanoffice,,A,14/04/1982
sudarshan001,,F,08/09/1988
nitin002,,F,21/03/1991
deepti003,,F,12/12/1990
shirshendu004,,F,13/07/1992
abhinav005,,F,27/10/1982
neeraj006,,F,21/03/1983
puneet007,,F,09/06/1988
venkata008,,F,11/01/1982
shweta009,,F,23/02/1984
shashi010,,F,14/04/1982
tv011,,F,08/09/1988
sudeepta012,,F,21/03/1991
apurva013,,F,12/12/1990
sujata014,,F,13/07/1992
mukesh015,,F,27/10/1982
anil016,,F,21/03/1983
balwinder017,,F,09/06/1988
basant018,,F,11/01/1982
jagpreet019,,F,23/02/1984
2021AIM1001,,S,08/09/1999
2021AIM1002,,S,21/03/1999
2021CSM1001,,S,12/12/1999
2021CSM1002,,S,13/07/2001
2021CSM1003,,S,27/10/1999
2022AIM1001,,S,21/03/1999
2022AIM1009,,S,09/06/2000
2022AIM1010,,S,11/01/1998
2022CSM1001,,S,23/02/2001
2022CSM1009,,S,14/04/2000
2022CSM1010,,S,4/10/1999
2022CSM1014,,S,13/09/1997
